,weight,mean_Isaiah_1-39,mean_Isaiah_40-66
fw_thy,-0.08327157888400405,5.1053613755829135,12.287137251646836
fw_of,0.06757978169985002,49.29112376937603,29.915861828630813
fw_thee,-0.06585826382845475,3.8624230412085097,10.24007650466464
fw_him,-0.06366883463488125,3.3088127052429113,6.381285366058046
fw_no,-0.060064618581565435,1.9178927780757327,3.4569693131772774
fw_that,-0.05870370579854999,15.965873987101306,21.179862679810395
fw_before,-0.058672993834287375,0.9688897537874234,2.1157661892826836
fw_this,0.05805065264168456,3.411577431783191,1.7511067526901325
fw_the,0.0550150041765747,90.62534873594589,69.28400997750109
fw_your,-0.05100155809520021,1.6054821481556087,3.333457203939902
fw_not,-0.05047998867967252,7.343079524737935,12.823422541954926
fw_them,-0.0504237929482245,6.045743501963062,8.37505157527402
fw_my,-0.04910401103978097,4.657795413952938,11.644299013425746
fw_against,0.047837996375182636,2.7058397388674016,1.0382405422668344
fw_it,0.04707953952895705,11.552509889688233,7.914546618064814
fw_may,-0.0466048328921393,1.0332246070812363,1.7123319101717798
fw_now,0.04602506361066422,1.2549249704148822,0.9092015421049346
fw_thou,-0.04559267243619716,4.897500008564372,10.961926628699327
fw_when,0.04362048375842334,2.5874674318519153,1.5400099609903612
avg_sent_len,0.04345810445488553,20.33388086746052,17.056079202307128
fw_might,-0.042522262115027555,0.14184912068592154,0.3117517820449588
fw_upon,0.042002244122534546,4.946119201161805,3.8488762398943726
fw_i,-0.04128773315407271,7.798915090040192,21.670307468412688
fw_none,-0.04068775708907892,0.6101903443652533,2.0105943485936684
fw_into,0.03778047167076799,2.1164783299283325,1.1916501389962106
fw_what,0.03735603249463511,0.8634523010325132,0.5741064556960075
fw_at,0.03665867698572006,2.150613722997231,1.0278502198049035
fw_under,0.036250817667755966,0.6132646984664413,0.1982877718189433
fw_neither,-0.035875920252187776,1.510525947363852,2.112281693241786
fw_in,0.035797566054169006,16.84729680862252,12.79956215689205
fw_who,-0.035518062115001366,0.7047105125795712,2.119518868704073
fw_be,0.03445796967357487,16.682259665138037,12.40861617410092
fw_nor,-0.033620995392549605,1.15192536587964,2.279762250723729
fw_our,-0.03338480765104106,0.9337853005756177,2.0889327389138166
ttr,0.03338082539541779,0.3072371311393582,0.289358689572693
fw_for,-0.03288489255405766,13.150381273042862,15.426413714443665
fw_more,-0.03275375979027533,0.8429456831747703,1.1546554654993364
fw_whose,0.031067174165267043,0.7999834928751504,0.4606631767457915
fw_until,0.030895539628233937,0.27741004039546013,0.0655307994757536
fw_am,-0.030668384002293984,0.6432966991100574,2.854808583681673
fw_me,-0.03061152127073585,3.081933889550458,7.386860071237281
fw_a,0.0299181693522428,15.411466069682207,11.888641240168937
fw_both,0.02981444345725537,0.3727995315188086,0.06591957811470006
fw_her,0.028385757903698603,1.7778871965811849,1.6427271575721503
fw_after,0.02800568889676608,0.4234816834058069,0.37998701088098535
fw_we,-0.02790875370750639,1.6462820901934025,2.4090058904352056
fw_shall,0.027630237084865557,34.64679594206076,24.75292906182997
fw_was,-0.026963568028738335,1.4078282627332788,2.5202419685342314
fw_is,0.026536205575559167,11.183806188060686,9.765045903148287
fw_same,0.026346538009717594,0.17785588072022432,0.0
fw_with,0.025765706250157935,8.758688298376272,7.312259290990987
fw_they,-0.025613677953012504,9.210775208069096,10.656988190594442
fw_over,0.02543244119911631,1.40926974754973,0.9042708857214846
std_sent_len,0.0250563421101002,12.593527512157236,10.886046423955714
fw_done,0.024939553183647118,0.544674652432614,0.39464431530861827
fw_but,-0.02361693118455685,3.3316029758867467,3.8532965227716205
fw_so,0.023271828966598056,1.7074204628776377,1.3367009521988096
fw_also,0.022526921070175402,2.205855232295288,1.4215404208701785
fw_hath,-0.022478999179679465,3.582940784608048,5.564997349396156
fw_wherefore,-0.020988317815905617,0.376697319982657,0.32891149395560476
fw_were,0.020361055329523033,0.7688063646933342,0.5765263308582094
fw_ye,-0.020223120182478283,5.536881683609372,7.584480539302776
avg_word_len,-0.02008097135091999,4.071984438779877,4.071559838589502
fw_from,-0.019257812374273122,5.636203442191833,6.979242024446144
fw_another,-0.01850236415606583,0.18931033967240465,0.5840679740430307
fw_will,-0.018435808224890403,7.225739496443871,9.878725020824556
fw_while,-0.017830833262136362,0.14175857617586435,0.23418533567518668
fw_therefore,0.017599539118050067,2.2768085845772847,1.5335548779721386
fw_through,0.017048483787349026,0.8018473210438695,0.5256364428073839
fw_whom,-0.016141190087383274,0.7366828368807707,1.628209279952498
fw_any,-0.015827233246798376,0.5198230368055837,0.5261932381019373
fw_us,0.015788600782805414,1.7861723685041473,1.2063800348282032
fw_by,0.015436538280679354,2.261212347602883,2.4454110265910094
fw_their,-0.015289119378808249,6.4478998820626785,5.4121875637449035
fw_then,0.014864229202527736,1.3676761835565208,0.9032725762357161
fw_out,0.01432900226270004,3.1764136418760236,3.1347026153484725
fw_yet,-0.0134283101204229,0.7072720871899544,1.0397273869948738
fw_she,-0.012369958768721857,0.18667964897690137,0.46520212416653717
fw_do,0.011921551703055654,0.9271312537638571,1.0251042441722513
fw_among,-0.011738225903299938,0.6550651438168809,0.9422170592548316
fw_between,0.010136229320181555,0.08765953337660874,0.06557377049180327
fw_there,-0.010133044565743345,2.7555183004226826,3.5065858781327734
fw_to,-0.010059400312969152,15.574292166393382,16.132845803565964
fw_you,0.010014077167125893,1.4116757901600927,1.3213708739502013
fw_up,0.009988786703383263,4.149105854778709,3.9802599007586337
fw_he,-0.009527535925335182,10.376517944917975,12.10645745950668
fw_art,-0.008603292156276992,0.5958967175457185,1.3887692202814066
fw_did,0.0083966960107545,0.4599364032711812,0.6186199443289381
fw_been,0.007477543980462175,0.6023118544626483,0.775760344284595
fw_his,-0.0070584217059449575,9.686332486915905,9.025524888107318
fw_on,-0.006803675098568744,1.8745565794743773,1.843158507886749
fw_are,-0.006461619978791709,4.614337624880888,5.764493964538289
fw_have,-0.0063783309228702505,5.640332566953774,8.889637329387204
fw_other,0.006277109553143125,0.04720989519403267,0.06587615283267458
fw_all,0.006047974881922311,4.850091770157521,5.67219987091867
fw_every,0.005791402752922984,1.8883760145583466,1.185557130995699
fw_because,0.005673747584800558,1.362070894909388,1.0427457889151368
fw_as,0.005136035490209449,7.008269723180116,6.273757397117639
fw_can,0.004245548956401487,0.13643524466356535,0.3300865165884012
fw_and,0.004211213067335164,60.45898266101222,53.47337106711378
fw_such,0.004164086260845108,0.18395924428337335,0.16704510483984994
fw_which,-0.0037448768085856683,2.574776962652193,2.83263946649319
fw_unto,-0.0031863416736041938,5.758056035786713,5.673277011172282
fw_or,-0.0019485761882133434,0.8453052016844486,0.9686859141027131
fw_if,-0.0019315810024893316,0.5659985700316372,0.6640079719377964
fw_had,0.0016813078617902537,0.5784020072154364,0.5921772177285405
fw_man,-0.00010654820984440719,1.9806570104221652,1.7838466210975619
fw_either,-1.3010426069826053e-18,0.09470271258451833,0.0
fw_has,0.0,0.0,0.0
