book,label,chunk_id,fw_conj_vav,fw_prep_be,fw_prep_ke,fw_prep_le,fw_prep_min,fw_article_ha,fw_interrog_he,fw_et_dom,fw_asher_rel,fw_ki_causal,fw_lo_neg,fw_kol_all,fw_al_upon,fw_el_to,fw_im_with,fw_hu_pron3ms,fw_zeh_this,fw_peh_mouth_idiom,fw_yom_day,avg_word_len,std_word_len,ttr,n_words
Isaiah,Isaiah_1-39,0,158.311345646438,48.15303430079155,15.171503957783642,55.40897097625329,19.12928759894459,50.791556728232194,0.0,8.575197889182057,5.936675461741425,15.8311345646438,14.511873350923484,13.852242744063323,15.171503957783642,3.95778364116095,0.6596306068601583,5.936675461741425,0.0,1.3192612137203166,6.596306068601583,2.4851936218678814,1.5002306265697338,0.5857519788918206,1516
Isaiah,Isaiah_1-39,1,157.33333333333331,52.0,11.333333333333334,51.333333333333336,16.666666666666668,60.0,1.3333333333333333,23.333333333333336,9.333333333333334,16.0,23.333333333333336,15.333333333333332,19.333333333333336,13.333333333333334,2.0,8.0,6.666666666666667,2.0,7.333333333333333,2.340593141797961,1.3945252481204036,0.528,1500
Isaiah,Isaiah_1-39,2,127.89927104042411,47.051027170311464,17.892644135188867,35.785288270377734,25.84493041749503,39.0987408880053,2.6507620941020544,7.952286282306162,7.28959575878065,15.241882041086813,19.880715705765407,13.25381047051027,25.182239893969516,8.614976805831677,1.3253810470510272,4.638833664678596,1.9880715705765406,1.3253810470510272,9.277667329357191,2.4474304573314476,1.4611725504065245,0.5725646123260437,1509
Isaiah,Isaiah_1-39,3,112.35955056179775,46.92663582286848,16.523463317911435,35.6906807666887,22.47191011235955,37.012557832121615,0.0,7.931262392597489,9.91407799074686,13.879709187045606,8.592200925313946,12.557832121612691,21.81097157964309,12.557832121612691,0.0,10.575016523463317,2.643754130865829,0.6609385327164573,7.931262392597489,2.550319096710849,1.4606762162210498,0.5465961665565102,1513
Isaiah,Isaiah_1-39,4,84.82438701126574,42.41219350563287,19.880715705765407,51.68986083499006,18.555334658714383,59.64214711729622,1.3253810470510272,5.964214711729622,5.301524188204109,17.892644135188867,9.940357852882704,12.591119946984758,20.54340622929092,4.638833664678596,0.6626905235255136,6.626905235255135,7.28959575878065,0.0,10.603048376408218,2.4527027027027026,1.440145059333676,0.5526838966202783,1509
Isaiah,Isaiah_1-39,5,124.41783100465734,46.57351962741185,18.629407850964736,57.21889554224884,16.6333998669328,43.24683965402528,1.996007984031936,13.972055888223553,9.314703925482368,21.290751829673987,24.617431803060548,7.984031936127744,20.625415834996673,3.32667997338656,1.996007984031936,5.322687957418497,5.9880239520958085,1.3306719893546242,7.318695941450432,2.41145584725537,1.4184809952795947,0.5462408516300732,1503
Isaiah,Isaiah_1-39,6,120.58627581612258,34.643570952698205,9.993337774816789,47.30179880079947,17.321785476349103,35.976015989340446,2.664890073284477,7.994670219853432,7.994670219853432,13.990672884743505,17.321785476349103,8.660892738174551,28.647568287808127,9.993337774816789,1.998667554963358,9.327115256495668,1.998667554963358,0.6662225183211192,1.998667554963358,2.5149583128984796,1.469202185547969,0.5749500333111259,1501
Isaiah,Isaiah_1-39,7,124.63556851311954,37.17201166180758,5.1020408163265305,33.52769679300292,17.49271137026239,56.12244897959184,0.7288629737609329,32.79883381924198,21.865889212827987,13.119533527696793,16.034985422740526,13.119533527696793,10.932944606413994,27.696793002915452,0.7288629737609329,4.373177842565598,4.373177842565598,0.0,9.475218658892128,2.4612565445026178,1.4623786447692213,0.47230320699708456,1372
Isaiah,Isaiah_40-66,0,130.2325581395349,46.51162790697674,16.611295681063122,46.51162790697674,21.262458471760798,28.57142857142857,4.651162790697675,5.3156146179401995,3.3222591362126246,12.624584717607974,33.222591362126245,9.966777408637872,5.980066445182724,2.6578073089700998,0.6644518272425249,4.651162790697675,0.0,0.6644518272425249,0.6644518272425249,2.5346350534635054,1.496807339718362,0.5647840531561462,1505
Isaiah,Isaiah_40-66,1,127.40544127405443,37.1599203715992,4.6449900464499,45.7863304578633,26.542800265428003,15.925680159256803,3.981420039814201,1.9907100199071004,3.981420039814201,12.607830126078301,36.4963503649635,11.944260119442601,15.262110152621101,7.962840079628402,0.0,3.981420039814201,1.9907100199071004,1.3271400132714002,1.3271400132714002,2.4936350777934937,1.4688601862809179,0.5341738553417386,1507
Isaiah,Isaiah_40-66,2,115.02659574468085,32.579787234042556,19.28191489361702,54.52127659574468,27.925531914893615,17.28723404255319,3.324468085106383,9.97340425531915,8.643617021276595,15.957446808510637,22.606382978723406,11.96808510638298,7.978723404255319,11.303191489361703,0.0,5.98404255319149,0.6648936170212766,3.324468085106383,3.324468085106383,2.4299583911234395,1.4433578472753577,0.5571808510638298,1504
Isaiah,Isaiah_40-66,3,126.81638044914135,38.30911492734478,8.58652575957728,53.50066050198151,27.741083223249667,21.79656538969617,5.284015852047556,7.926023778071334,7.926023778071334,23.11756935270806,36.32760898282695,13.21003963011889,13.870541611624834,5.9445178335535,0.0,1.321003963011889,2.642007926023778,2.642007926023778,5.9445178335535,2.4438280166435504,1.4586178145123718,0.5799207397622193,1514
Isaiah,Isaiah_40-66,4,122.20762155059133,41.39290407358739,19.71090670170828,62.417871222076215,19.053876478318003,26.938239159001316,0.657030223390276,7.884362680683311,5.913272010512484,19.71090670170828,20.367936925098554,15.768725361366622,16.4257555847569,5.913272010512484,0.0,2.628120893561104,1.314060446780552,3.2851511169513796,5.256241787122208,2.3970456580125337,1.4256915740591574,0.5683311432325887,1522
Isaiah,Isaiah_40-66,5,146.71814671814673,52.76705276705277,16.73101673101673,34.74903474903475,20.592020592020592,54.054054054054056,2.574002574002574,18.01801801801802,16.73101673101673,19.305019305019304,27.027027027027028,16.73101673101673,7.722007722007723,7.722007722007723,0.0,0.0,3.8610038610038613,0.0,6.435006435006435,2.416740872662511,1.440714819487149,0.5868725868725869,777
